agecell,all,allfitted,internal,internalfitted,external,externalfitted,alcohol,alcoholfitted,homicide,homicidefitted,suicide,suicidefitted,mva,mvafitted,drugs,drugsfitted,externalother,externalotherfitted
19.068493,92.825401,91.706146,16.61759,16.738131,76.207817,74.96801,.63913804,.79434448,16.316818,16.284573,11.203714,11.5921,35.829327,34.81778,3.8724246,3.4488349,8.5343733,8.388236
19.150684,95.100739,91.88372,18.327684,16.920654,76.773056,74.963066,.67740929,.8375749,16.859964,16.270697,12.193368,11.593611,35.639256,34.633888,3.2365112,3.4700222,8.6557856,8.5301743
19.232876,92.144295,92.049065,18.911053,17.098843,73.233238,74.950226,.86644262,.87783468,15.219254,16.262882,11.715812,11.595129,34.20565,34.446735,3.2020707,3.4920695,8.5137405,8.6626806
19.315069,88.427757,92.202141,16.10177,17.27268,72.325981,74.929466,.86730844,.91511488,16.742825,16.261148,11.27501,11.596655,32.278957,34.256302,3.2806885,3.5149798,8.2582846,8.7857275
19.397261,88.704941,92.342918,17.36352,17.442156,71.341415,74.900757,1.0191631,.94940656,14.947726,16.265511,10.984314,11.598189,32.650967,34.062588,3.5481975,3.5387552,8.4175329,8.8992882
19.479452,90.191788,92.471344,17.872105,17.607254,72.319679,74.86409,1.1713219,.98070073,15.642815,16.27599,12.166634,11.599731,32.721443,33.865582,3.211689,3.5633986,7.9725456,9.0033321
19.561644,96.220306,92.587387,16.414942,17.767965,79.805367,74.81942,.86991632,1.0089884,16.263653,16.292604,12.405763,11.601281,36.385197,33.665272,3.8578897,3.5889127,10.287705,9.0978308
19.643835,89.615555,92.691017,15.977087,17.924273,73.638466,74.766747,1.0979514,1.0342605,15.825645,16.315371,10.979514,11.602839,34.187935,33.461647,3.4831562,3.6152999,8.6700306,9.1827564
19.726027,93.381699,92.782196,17.433271,18.076166,75.948425,74.706024,1.1748509,1.0565081,16.789,16.344309,11.900103,11.604405,31.910467,33.254696,4.0551305,3.6425629,10.76315,9.2580805
19.80822,90.857956,92.86087,18.2854,18.223631,72.572556,74.637245,.9484129,1.0757217,16.616194,16.379436,11.570638,11.60598,30.576832,33.044415,3.5660326,3.6707044,9.8634939,9.3237724
19.890411,95.81015,92.927025,18.607599,18.366652,77.202553,74.560371,1.3291142,1.0918926,17.278484,16.420774,11.468357,11.607562,33.531654,32.830788,4.1012669,3.6997268,9.8354454,9.3798046
19.972603,94.158066,92.980606,18.436279,18.505219,75.721786,74.475388,1.2164142,1.1050112,16.953773,16.468338,11.631961,11.609152,33.603443,32.613808,3.7632816,3.7296331,9.123107,9.4261475
20.054794,92.4646,93.021584,19.634459,18.639317,72.830139,74.382271,1.0273844,1.1150686,17.199177,16.52215,11.263178,11.61075,31.772816,32.393467,3.7290249,3.7604258,8.2951784,9.4627705
20.136986,98.245598,93.097672,20.88386,18.778563,77.36174,74.319115,.95273077,1.1226311,17.034826,16.590736,11.928189,11.618317,34.298309,32.186256,3.9252508,3.7940538,9.6797447,9.4945164
20.219177,94.960403,93.16124,18.473003,18.913473,76.487396,74.247772,1.3740251,1.1271195,16.297464,16.665701,11.87005,11.625911,33.32011,31.975483,4.2365775,3.828613,9.8090124,9.5165176
20.301371,93.385323,93.212234,18.883484,19.044024,74.501839,74.168205,.99386752,1.1285197,15.940106,16.747074,12.46157,11.633533,32.759403,31.761126,3.4403107,3.8641078,9.2506132,9.5287275
20.383562,90.120918,93.250587,18.56782,19.170197,71.553101,74.080391,1.2250932,1.1268175,16.883316,16.834883,11.102407,11.641183,30.589046,31.543165,3.254154,3.9005423,8.9967785,9.5311031
20.465754,92.406227,93.276245,19.363131,19.291971,73.043091,73.984276,.99691361,1.1219985,17.330959,16.929159,10.889364,11.648862,31.28775,31.32159,4.1793685,3.9379208,8.9722223,9.5235987
20.547945,93.354485,93.289154,19.968874,19.409328,73.385612,73.879822,.960042,1.1140486,16.743132,17.029932,11.482102,11.656569,30.298925,31.096382,4.3777914,3.976248,9.8308296,9.5061684
20.630136,92.228783,93.289246,19.422657,19.522247,72.806122,73.766998,.96151769,1.1029531,15.884273,17.137232,12.345887,11.664306,30.230118,30.867521,3.6537673,4.0155282,10.192088,9.4787674
20.712328,92.332245,93.276474,20.377037,19.630705,71.955208,73.645767,1.0015179,1.0886977,17.411003,17.251089,10.978177,11.672071,30.122578,30.634996,3.6593924,4.0557652,9.39886,9.4413481
20.794521,92.667511,93.250763,19.521132,19.734684,73.146378,73.516083,1.1959587,1.0712676,17.900801,17.371531,11.303739,11.679864,29.74465,30.398787,4.3594623,4.0969639,9.2204561,9.3938656
20.876713,93.390198,93.212074,18.623945,19.834162,74.766251,73.377907,.96597224,1.0506482,18.160278,17.498592,12.209889,11.687687,30.717916,30.158875,3.9411666,4.1391292,9.1574173,9.3362722
20.958904,94.269913,93.160324,20.200695,19.929119,74.069221,73.231209,1.2383568,1.0268247,17.143503,17.632299,11.880486,11.695539,30.417139,29.915245,4.4890437,4.1822648,9.4811697,9.2685213
20.99999,,93.134453,,19.976597,,73.15786,,1.014913,,17.699154,,11.699464,,29.79343,,4.2038321,,9.2346458
21,,102.89176,,21.10804,,81.783722,,1.8173605,,17.76202,,13.547069,,34.785976,,4.4421463,,10.353402
21.041096,105.26835,102.58908,21.937366,21.104536,83.330986,81.484543,2.5193088,1.7885877,18.332817,17.72146,12.402751,13.520511,36.316807,34.590244,4.2246871,4.4496655,10.697372,10.321973
21.123287,101.06651,101.98372,21.121853,21.097532,79.944664,80.886192,1.5919044,1.7310421,17.316814,17.640341,14.83189,13.467395,32.575798,34.198776,4.426271,4.464704,9.9785223,10.259112
21.205479,96.966522,101.41248,19.253281,21.102318,77.713242,80.310158,1.3613431,1.6776136,16.880655,17.563643,12.213193,13.416207,33.022293,33.815987,4.7452531,4.4810143,10.268416,10.200633
21.287672,102.8269,100.87552,21.508316,21.118961,81.318581,79.756561,1.4416807,1.6283239,17.378096,17.49139,14.45577,13.36696,35.106873,33.441917,4.1691847,4.4986038,9.6241922,10.146556
21.369864,100.97943,100.37305,22.366144,21.14752,78.613289,79.225525,1.3271359,1.5831952,17.018566,17.423609,13.583627,13.319661,32.358696,33.076618,4.4107752,4.5174794,10.578053,10.096907
21.452055,101.23695,99.905235,21.232779,21.188061,80.004173,78.717171,1.7205198,1.5422496,17.478916,17.360321,13.803261,13.274323,32.455261,32.720131,4.8487377,4.5376472,10.284016,10.051706
21.534246,99.497597,99.472267,21.27055,21.240648,78.227043,78.231621,1.1359962,1.5055093,18.410973,17.30155,12.848509,13.230954,31.533688,32.372505,4.6223292,4.5591145,10.341482,10.010981
21.616438,95.201309,99.074333,22.093296,21.305344,73.108009,77.76899,1.0202943,1.472997,16.599403,17.24732,11.811869,13.189567,30.098682,32.033791,4.8660192,4.5818882,9.4965858,9.9747534
21.698629,97.258247,98.711617,21.267872,21.382215,75.990379,77.329407,1.6117979,1.4447351,18.044275,17.197657,13.326818,13.15017,30.388288,31.704031,4.4029603,4.6059756,8.9631691,9.9430475
21.780823,98.928726,98.384315,19.454931,21.471325,79.473793,76.912987,1.7328279,1.4207466,17.17075,17.152584,14.76842,13.112777,31.742258,31.383278,5.0803366,4.6313834,9.8062305,9.9158878
21.863014,102.26221,98.092606,20.515566,21.572742,81.746643,76.519867,1.3019494,1.4010543,17.16206,17.112127,13.926913,13.077396,34.481934,31.071575,4.8132677,4.6581187,10.573407,9.8932991
21.945206,96.833374,97.836693,22.093819,21.686531,74.739555,76.150162,1.1461909,1.3856815,16.718578,17.076309,12.370957,13.04404,31.540012,30.768976,4.2685733,4.6861887,9.4461946,9.8753061
22.027397,99.501968,97.61676,21.024887,21.812757,78.477074,75.804008,1.3462263,1.3746514,17.223778,17.045156,12.274417,13.012717,31.834293,30.475529,4.9097667,4.7156005,11.482519,9.8619328
22.109589,96.072289,97.433739,23.40324,21.951653,72.669044,75.482079,1.6263269,1.3679978,17.016933,17.01882,11.622288,12.983537,29.55155,30.191505,4.4029827,4.746397,9.440629,9.8532772
22.19178,95.968208,97.287079,20.624224,22.103125,75.343979,75.183952,1.8279659,1.3657339,16.570908,16.9972,12.597069,12.956413,30.836988,29.916727,4.609653,4.7785506,9.4974747,9.8492928
22.273973,98.610672,97.177002,23.129915,22.267242,75.480759,74.90976,1.6322316,1.3678838,17.198147,16.980322,12.420884,12.931358,29.857895,29.651249,4.9365053,4.8120685,10.072062,9.8500042
22.356165,97.952469,97.103691,23.092215,22.444073,74.860252,74.659615,1.5554341,1.3744715,17.109776,16.96821,13.879258,12.908381,28.75559,29.395117,5.1050143,4.8469582,9.372488,9.8554363
22.438356,97.411728,97.06736,24.37291,22.633688,73.038818,74.43367,1.6381792,1.3855213,16.701437,16.960892,13.86459,12.887496,27.649269,29.148384,4.4350705,4.8832278,9.4694748,9.8656168
22.520548,97.509476,97.068199,23.49674,22.836157,74.012733,74.23204,1.5611123,1.4010576,17.532492,16.958393,12.809127,12.868712,28.260136,28.911102,4.5232229,4.9208841,9.8870449,9.8805704
22.602739,95.562393,97.106422,22.817877,23.051548,72.744514,74.054871,1.2431532,1.4211051,16.040686,16.960741,12.15082,12.852041,29.234152,28.683325,5.0127144,4.9599347,10.025429,9.9003229
22.684931,97.023064,97.182228,21.815123,23.279934,75.207939,73.90229,.88385397,1.4456885,16.793226,16.967962,12.856058,12.837497,29.528757,28.465099,5.4236493,5.0003877,10.204496,9.924901
22.767124,99.374573,97.295822,24.350594,23.521387,75.023979,73.774437,1.2074674,1.4748328,17.226536,16.980082,14.610356,12.825089,27.44976,28.256483,4.7896209,5.0422511,10.504967,9.9543324
22.849316,94.315308,97.447426,22.943741,23.77598,71.371567,73.67144,1.3709793,1.5085632,16.693689,16.997128,12.338814,12.814829,26.855064,28.057526,5.5645628,5.0855317,9.4355631,9.9886427
22.931507,97.397644,97.63723,24.238319,24.043783,73.159325,73.593452,1.7774768,1.5469048,17.774767,17.019129,11.917173,12.806729,27.389301,27.868282,4.9688554,5.1302381,10.099299,10.027859
