year,origin,destin,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
2000,"CHICAGO, IL","ORLANDO, FL",340,1005,3005,236.91,.28100002,6.9127426,0,0,1,5.0039463,47.786011,.28100002,8.0080328
1998,"CHICAGO, IL","ORLANDO, FL",340,1005,2763,227.37,.33180001,6.9127426,1,0,0,4.9628448,47.786011,.33180001,7.9240723
1999,"CHICAGO, IL","ORLANDO, FL",340,1005,2843,235.32001,.31370002,6.9127426,0,1,0,4.9972124,47.786011,.31370002,7.9526153
1997,"CHICAGO, IL","ORLANDO, FL",340,1005,2616,235.32001,.3439,6.9127426,0,0,0,4.9972124,47.786011,.3439,7.8694019
2000,"FT. LAUDERDALE, FL","INDIANAPOLIS, IN",616,1006,434,206.7,.51969999,6.9137373,0,0,1,4.8675346,47.799763,.51969999,6.0730443
1999,"FT. LAUDERDALE, FL","INDIANAPOLIS, IN",616,1006,377,206.7,.48900002,6.9137373,0,1,0,4.8675346,47.799763,.48900002,5.9322453
1997,"FT. LAUDERDALE, FL","INDIANAPOLIS, IN",616,1006,376,174.89999,.42880002,6.9137373,0,0,0,4.7004805,47.799763,.42880002,5.9295893
1998,"FT. LAUDERDALE, FL","INDIANAPOLIS, IN",616,1006,378,193.98,.50529999,6.9137373,1,0,0,4.8040209,47.799763,.50529999,5.9348941
1997,"CO SPRINGS, CO","NASHVILLE, TN",423,1008,49,240.09,.31850001,6.9157233,0,0,0,5.0172796,47.827229,.31850001,3.8918202
1998,"CO SPRINGS, CO","NASHVILLE, TN",423,1008,69,268.70999,.31059998,6.9157233,1,0,0,5.1298985,47.827229,.31059998,4.2341065
2000,"CO SPRINGS, CO","NASHVILLE, TN",423,1008,71,292.56,.4673,6.9157233,0,0,1,5.2149358,47.827229,.4673,4.2626801
1999,"CO SPRINGS, CO","NASHVILLE, TN",423,1008,77,284.60999,.2384,6.9157233,0,1,0,5.187386,47.827229,.2384,4.3438053
2000,"PHOENIX, AZ","PORTLAND, OR",1037,1009,1345,216.24001,.37099999,6.9167151,0,0,1,4.9126549,47.84095,.37099999,7.2041492
1997,"PHOENIX, AZ","PORTLAND, OR",1037,1009,1004,203.52,.38069999,6.9167151,0,0,0,4.8520303,47.84095,.38069999,6.9117475
1998,"PHOENIX, AZ","PORTLAND, OR",1037,1009,986,203.52,.48220003,6.9167151,1,0,0,4.8520303,47.84095,.48220003,6.8936563
1999,"PHOENIX, AZ","PORTLAND, OR",1037,1009,1197,187.62,.43259999,6.9167151,0,1,0,4.7706847,47.84095,.43259999,7.0875735
1997,"BUFFALO, NY","ORLANDO, FL",255,1011,443,184.44,.40810001,6.9186954,0,0,0,4.7535901,47.868347,.40810001,6.0935698
1998,"BUFFALO, NY","ORLANDO, FL",255,1011,552,162.17999,.52109998,6.9186954,1,0,0,4.6249728,47.868347,.52109998,6.3135481
2000,"BUFFALO, NY","ORLANDO, FL",255,1011,700,170.13,.3646,6.9186954,0,0,1,4.6728287,47.868347,.3646,6.5510802
1999,"BUFFALO, NY","ORLANDO, FL",255,1011,519,176.49001,.63849998,6.9186954,0,1,0,4.7095304,47.868347,.63849998,6.251904
2000,"BOSTON, MA","JACKSONVILLE, FL",219,1012,271,209.88,.46970001,6.9196839,0,0,1,4.882802,47.882027,.46970001,5.602119
1999,"CHICAGO, IL","TAMPA, FL",363,1012,2083,243.27,.33450001,6.9196839,0,1,0,5.0304379,47.882027,.33450001,7.6415644
2000,"CHICAGO, IL","TAMPA, FL",363,1012,1951,254.39999,.26910001,6.9196839,0,0,1,5.0751739,47.882027,.26910001,7.5760975
1999,"BOSTON, MA","JACKSONVILLE, FL",219,1012,277,203.52,.40169999,6.9196839,0,1,0,4.8520303,47.882027,.40169999,5.6240177
1998,"BOSTON, MA","JACKSONVILLE, FL",219,1012,236,228.96001,.49650002,6.9196839,1,0,0,4.9698133,47.882027,.49650002,5.4638319
1997,"BOSTON, MA","JACKSONVILLE, FL",219,1012,255,238.5,.52599996,6.9196839,0,0,0,5.0106354,47.882027,.52599996,5.5412636
1997,"CHICAGO, IL","TAMPA, FL",363,1012,1824,243.27,.38330001,6.9196839,0,0,0,5.0304379,47.882027,.38330001,7.5087872
1998,"CHICAGO, IL","TAMPA, FL",363,1012,1950,235.32001,.35609999,6.9196839,1,0,0,4.9972124,47.882027,.35609999,7.5755849
1999,"OMAHA, NE","WASHINGTON, DC",990,1013,253,300.51001,.6358,6.9206715,0,1,0,5.2417469,47.895695,.6358,5.5333896
1999,"MIAMI, FL","PHILADELPHIA, PA",866,1013,686,286.20001,.45740002,6.9206715,0,1,0,5.1929569,47.895695,.45740002,6.5308776
1998,"OMAHA, NE","WASHINGTON, DC",990,1013,242,297.32999,.63590002,6.9206715,1,0,0,5.2311087,47.895695,.63590002,5.4889379
1998,"MIAMI, FL","PHILADELPHIA, PA",866,1013,632,283.01999,.45919999,6.9206715,1,0,0,5.1817837,47.895695,.45919999,6.4488893
2000,"OMAHA, NE","WASHINGTON, DC",990,1013,267,327.54001,.63529998,6.9206715,0,0,1,5.3278761,47.895695,.63529998,5.5872488
1997,"OMAHA, NE","WASHINGTON, DC",990,1013,224,287.79001,.64219999,6.9206715,0,0,0,5.1984968,47.895695,.64219999,5.4116459
2000,"MIAMI, FL","PHILADELPHIA, PA",866,1013,697,257.57999,.5808,6.9206715,0,0,1,5.0875964,47.895695,.5808,6.5467854
1997,"MIAMI, FL","PHILADELPHIA, PA",866,1013,509,306.87,.4614,6.9206715,0,0,0,5.2626901,47.895695,.4614,6.2324481
2000,"MIAMI, FL","PITTSBURGH, PA",868,1014,261,267.12,.79150003,6.921658,0,0,1,5.1239638,47.909351,.79150003,5.5645204
1997,"MIAMI, FL","PITTSBURGH, PA",868,1014,183,278.25,.71389997,6.921658,0,0,0,5.1647859,47.909351,.71389997,5.209486
2000,"DENVER, CO","NASHVILLE, TN",535,1014,199,434.07001,.59780002,6.921658,0,0,1,5.6094718,47.909351,.59780002,5.2933049
1999,"MIAMI, FL","PITTSBURGH, PA",868,1014,223,284.60999,.74910003,6.921658,0,1,0,5.187386,47.909351,.74910003,5.4071717
1997,"DENVER, CO","NASHVILLE, TN",535,1014,176,397.5,.55669999,6.921658,0,0,0,5.521461,47.909351,.55669999,5.1704841
1998,"DENVER, CO","NASHVILLE, TN",535,1014,208,394.32001,.61610001,6.921658,1,0,0,5.5134287,47.909351,.61610001,5.3375382
1999,"DENVER, CO","NASHVILLE, TN",535,1014,184,434.07001,.6401,6.921658,0,1,0,5.6094718,47.909351,.6401,5.2149358
1998,"MIAMI, FL","PITTSBURGH, PA",868,1014,211,278.25,.73080003,6.921658,1,0,0,5.1647859,47.909351,.73080003,5.3518581
2000,"MINNEAPOLIS, MN","NEW YORK, NY",888,1016,1936,470.64001,.6074,6.9236288,0,0,1,5.6903596,47.936634,.6074,7.5683794
1999,"MINNEAPOLIS, MN","NEW YORK, NY",888,1016,1810,470.64001,.6462,6.9236288,0,1,0,5.6903596,47.936634,.6462,7.5010819
1997,"MINNEAPOLIS, MN","NEW YORK, NY",888,1016,1450,511.98001,.70480001,6.9236288,0,0,0,5.7745514,47.936634,.70480001,7.2793188
1998,"MINNEAPOLIS, MN","NEW YORK, NY",888,1016,1479,462.69,.70959997,6.9236288,1,0,0,5.6733232,47.936634,.70959997,7.2991214
1997,"HOUSTON, TX","PHOENIX, AZ",698,1020,731,279.84,.36900002,6.9275579,0,0,0,5.1704841,47.991058,.36900002,6.5944133
1998,"HOUSTON, TX","PHOENIX, AZ",698,1020,671,297.32999,.3856,6.9275579,1,0,0,5.2311087,47.991058,.3856,6.508769
2000,"HOUSTON, TX","PHOENIX, AZ",698,1020,796,292.56,.39930001,6.9275579,0,0,1,5.2149358,47.991058,.39930001,6.6795993
1999,"HOUSTON, TX","PHOENIX, AZ",698,1020,776,275.07001,.40270001,6.9275579,0,1,0,5.1532917,47.991058,.40270001,6.6541524
2000,"PHOENIX, AZ","SPOKANE, WA",1048,1021,254,209.88,.59669995,6.9285378,0,0,1,4.882802,48.004635,.59669995,5.5373344
1999,"CLEVELAND, OH","DALLAS, TX",387,1021,385,462.69,.4716,6.9285378,0,1,0,5.6733232,48.004635,.4716,5.9532433
1998,"PHOENIX, AZ","SPOKANE, WA",1048,1021,203,216.24001,.4131,6.9285378,1,0,0,4.9126549,48.004635,.4131,5.3132062
1998,"CLEVELAND, OH","DALLAS, TX",387,1021,420,448.38,.58039999,6.9285378,1,0,0,5.6419072,48.004635,.58039999,6.0402546
1997,"CLEVELAND, OH","DALLAS, TX",387,1021,400,462.69,.54220003,6.9285378,0,0,0,5.6733232,48.004635,.54220003,5.9914646
1997,"PHOENIX, AZ","SPOKANE, WA",1048,1021,253,171.72,.3944,6.9285378,0,0,0,4.6821313,48.004635,.3944,5.5333896
2000,"CLEVELAND, OH","DALLAS, TX",387,1021,367,526.28998,.49020001,6.9285378,0,0,1,5.8021183,48.004635,.49020001,5.9053617
1999,"PHOENIX, AZ","SPOKANE, WA",1048,1021,235,214.64999,.42270002,6.9285378,0,1,0,4.9052749,48.004635,.42270002,5.4595857
1999,"CLEVELAND, OH","WEST PALM BEACH, FL",414,1022,133,292.56,.3696,6.9295168,0,1,0,5.2149358,48.018204,.3696,4.8903489
1998,"PROVIDENCE, RI","ST. LOUIS, MO",1072,1022,175,238.5,.35740003,6.9295168,1,0,0,5.0106354,48.018204,.35740003,5.1647859
1997,"CLEVELAND, OH","WEST PALM BEACH, FL",414,1022,132,265.53,.33220002,6.9295168,0,0,0,5.1179938,48.018204,.33220002,4.882802
2000,"PROVIDENCE, RI","ST. LOUIS, MO",1072,1022,169,265.53,.37360001,6.9295168,0,0,1,5.1179938,48.018204,.37360001,5.1298985
1997,"PROVIDENCE, RI","ST. LOUIS, MO",1072,1022,193,224.19,.40900001,6.9295168,0,0,0,4.94876,48.018204,.40900001,5.2626901
2000,"CLEVELAND, OH","WEST PALM BEACH, FL",414,1022,152,270.29999,.528,6.9295168,0,0,1,5.1357985,48.018204,.528,5.0238805
1998,"CLEVELAND, OH","WEST PALM BEACH, FL",414,1022,156,249.63,.34999999,6.9295168,1,0,0,5.0562458,48.018204,.34999999,5.0498562
1999,"PROVIDENCE, RI","ST. LOUIS, MO",1072,1022,207,240.09,.42019999,6.9295168,0,1,0,5.0172796,48.018204,.42019999,5.3327188
1998,"INDIANAPOLIS, IN","MIAMI, FL",718,1023,186,217.83,.32790002,6.9304948,1,0,0,4.919981,48.031757,.32790002,5.2257466
1997,"INDIANAPOLIS, IN","MIAMI, FL",718,1023,180,209.88,.3152,6.9304948,0,0,0,4.882802,48.031757,.3152,5.1929569
1999,"INDIANAPOLIS, IN","MIAMI, FL",718,1023,164,244.86,.2291,6.9304948,0,1,0,5.0369525,48.031757,.2291,5.0998664
2000,"INDIANAPOLIS, IN","MIAMI, FL",718,1023,171,276.66,.35089999,6.9304948,0,0,1,5.1590552,48.031757,.35089999,5.1416636
1998,"NEW YORK, NY","WEST PALM BEACH, FL",964,1024,4043,236.91,.29890001,6.9314718,1,0,0,5.0039463,48.045303,.29890001,8.3047419
2000,"GRAND RAPIDS, MI","ORLANDO, FL",652,1024,233,249.63,.44859999,6.9314718,0,0,1,5.0562458,48.045303,.44859999,5.4510384
2000,"DENVER, CO","SEATTLE, WA",556,1024,1241,357.75,.66110003,6.9314718,0,0,1,5.4161005,48.045303,.66110003,7.123673
1997,"DENVER, CO","SEATTLE, WA",556,1024,1200,235.32001,.78390002,6.9314718,0,0,0,4.9972124,48.045303,.78390002,7.0900769
1999,"DETROIT, MI","SARASOTA, FL",599,1024,145,270.29999,.76989996,6.9314718,0,1,0,5.1357985,48.045303,.76989996,4.9767337
1998,"DENVER, CO","SEATTLE, WA",556,1024,1129,313.23001,.77509999,6.9314718,1,0,0,5.2832036,48.045303,.77509999,7.0290875
1998,"DETROIT, MI","SARASOTA, FL",599,1024,152,252.81,.7001,6.9314718,1,0,0,5.0689044,48.045303,.7001,5.0238805
1998,"GRAND RAPIDS, MI","ORLANDO, FL",652,1024,178,243.27,.32359999,6.9314718,1,0,0,5.0304379,48.045303,.32359999,5.1817837
2000,"DETROIT, MI","SARASOTA, FL",599,1024,75,295.73999,.39240003,6.9314718,0,0,1,5.2257466,48.045303,.39240003,4.3174882
2000,"NEW YORK, NY","WEST PALM BEACH, FL",964,1024,4273,228.96001,.31330001,6.9314718,0,0,1,4.9698133,48.045303,.31330001,8.3600712
1997,"DETROIT, MI","SARASOTA, FL",599,1024,156,267.12,.7324,6.9314718,0,0,0,5.1239638,48.045303,.7324,5.0498562
1999,"DENVER, CO","SEATTLE, WA",556,1024,1171,324.35999,.76209998,6.9314718,0,1,0,5.31812,48.045303,.76209998,7.0656133
1999,"NEW YORK, NY","WEST PALM BEACH, FL",964,1024,3768,254.39999,.31799999,6.9314718,0,1,0,5.0751739,48.045303,.31799999,8.2342997
1997,"GRAND RAPIDS, MI","ORLANDO, FL",652,1024,221,206.7,.5266,6.9314718,0,0,0,4.8675346,48.045303,.5266,5.3981628
1997,"NEW YORK, NY","WEST PALM BEACH, FL",964,1024,3879,244.86,.3134,6.9314718,0,0,0,5.0369525,48.045303,.3134,8.2633324
1999,"GRAND RAPIDS, MI","ORLANDO, FL",652,1024,198,244.86,.51969999,6.9314718,0,1,0,5.0369525,48.045303,.51969999,5.2882671
1997,"CLEVELAND, OH","FT. MYERS, FL",391,1026,272,262.35001,.6918,6.933423,0,0,0,5.1059456,48.072353,.6918,5.6058021
1998,"CLEVELAND, OH","FT. MYERS, FL",391,1026,334,235.32001,.66240001,6.933423,1,0,0,4.9972124,48.072353,.66240001,5.811141
1999,"CLEVELAND, OH","FT. MYERS, FL",391,1026,325,271.89001,.73280001,6.933423,0,1,0,5.1416636,48.072353,.73280001,5.7838254
2000,"CLEVELAND, OH","FT. MYERS, FL",391,1026,371,275.07001,.76449996,6.933423,0,0,1,5.1532917,48.072353,.76449996,5.9162021
2000,"SAN DIEGO, CA","SPOKANE, WA",1111,1027,152,233.73,.51289999,6.9343972,0,0,1,4.9904327,48.085865,.51289999,5.0238805
1999,"SAN DIEGO, CA","SPOKANE, WA",1111,1027,137,211.47,.47459999,6.9343972,0,1,0,4.8903489,48.085865,.47459999,4.919981
1997,"SAN DIEGO, CA","SPOKANE, WA",1111,1027,130,213.06,.32080001,6.9343972,0,0,0,4.89784,48.085865,.32080001,4.8675346
1998,"SAN DIEGO, CA","SPOKANE, WA",1111,1027,138,216.24001,.5589,6.9343972,1,0,0,4.9126549,48.085865,.5589,4.9272537
2000,"BALTIMORE, MD","OMAHA, NE",166,1028,128,235.32001,.25490001,6.9353704,0,0,1,4.9972124,48.099361,.25490001,4.8520303
1999,"BALTIMORE, MD","OMAHA, NE",166,1028,138,225.78,.26790002,6.9353704,0,1,0,4.9558272,48.099361,.26790002,4.9272537
1997,"BALTIMORE, MD","OMAHA, NE",166,1028,121,209.88,.26680002,6.9353704,0,0,0,4.882802,48.099361,.26680002,4.7957907
1998,"BALTIMORE, MD","OMAHA, NE",166,1028,124,224.19,.31290001,6.9353704,1,0,0,4.94876,48.099361,.31290001,4.8202815
1997,"CO SPRINGS, CO","PORTLAND, OR",429,1030,86,257.57999,.50760001,6.937314,0,0,0,5.0875964,48.126328,.50760001,4.4543471
1999,"CO SPRINGS, CO","PORTLAND, OR",429,1030,54,345.03,.52599996,6.937314,0,1,0,5.3798971,48.126328,.52599996,3.9889841
1998,"CO SPRINGS, CO","PORTLAND, OR",429,1030,79,324.35999,.50760001,6.937314,1,0,0,5.31812,48.126328,.50760001,4.3694477
2000,"CO SPRINGS, CO","PORTLAND, OR",429,1030,86,346.62,.50380003,6.937314,0,0,1,5.3844953,48.126328,.50380003,4.4543471
1998,"ORLANDO, FL","ROCHESTER, NY",1007,1034,440,163.77,.56459999,6.9411902,1,0,0,4.6347289,48.180122,.56459999,6.0867748
2000,"NEW YORK, NY","SARASOTA, FL",955,1034,342,273.48001,.55509996,6.9411902,0,0,1,5.1474943,48.180122,.55509996,5.8348107
