date,price_reg,quantity_reg,price_org,quantity_org
04jan2015,.99000001,90.779587,1.1799999,2.2630579
11jan2015,1.03,91.645073,1.12,2.9676778
18jan2015,1.22,75.374649,1.27,4.1482482
25jan2015,1.21,71.352325,1.34,2.7146811
01feb2015,.91000003,135.20276,1.0599999,5.7802019
08feb2015,.92000002,92.883659,1.35,2.755676
15feb2015,1.23,69.651527,1.55,2.4986401
22feb2015,1.23,77.633621,1.39,3.7223449
01mar2015,.94999999,103.92652,1.09,4.9820013
08mar2015,1.16,83.077545,1.5599999,2.0111301
15mar2015,1.26,77.975403,1.5599999,2.1389699
22mar2015,1.1900001,84.172379,1.34,2.1370711
29mar2015,1.3,74.258301,1.55,2.8094962
05apr2015,1.33,74.253967,1.55,2.65307
12apr2015,1.33,72.989021,1.54,2.8220448
19apr2015,1.23,81.881668,1.55,2.898495
26apr2015,1.39,68.083916,1.52,3.1950471
03may2015,1,131.03647,1.55,2.9248722
10may2015,1.3,74.267197,1.48,3.367605
17may2015,1.3200001,70.109947,1.53,3.127146
24may2015,1.37,70.0411,1.52,2.9319949
31may2015,1.29,76.411438,1.54,2.4581461
07jun2015,1.3099999,75.881706,1.96,2.288687
14jun2015,1.51,69.687302,1.95,2.397269
21jun2015,1.52,67.372055,1.95,2.3502619
28jun2015,1.54,64.632469,1.96,1.9868901
05jul2015,1.53,75.219185,1.96,2.3306749
12jul2015,1.39,68.035179,2.0899999,2.3141661
19jul2015,1.5599999,63.332718,2.3599999,1.955881
26jul2015,1.58,62.833107,2.75,1.595301
02aug2015,1.5700001,64.515831,2.76,1.393604
09aug2015,1.5599999,60.387688,2.72,1.556478
16aug2015,1.59,61.823757,2.73,1.528967
23aug2015,1.59,61.021294,2.71,1.511133
30aug2015,1.53,64.989197,2.77,1.52012
06sep2015,1.54,64.681015,2.73,1.551069
13sep2015,1.53,60.384094,2.73,1.480278
20sep2015,1.5599999,57.850075,2.79,1.519742
27sep2015,1.38,65.169731,2.74,1.179862
04oct2015,1.04,76.286659,2.5899999,1.534687
11oct2015,1.58,56.445663,2.6600001,1.4031731
18oct2015,1.52,58.607388,2.79,1.2642111
25oct2015,1.55,56.134224,1.9400001,1.9311211
01nov2015,.97000003,86.992722,2.01,1.7582929
08nov2015,1.4,59.98843,1.98,1.7886779
15nov2015,.99000001,77.584877,2.02,1.70788
22nov2015,1.04,70.944427,2.04,1.435523
29nov2015,1.05,65.163864,2.5799999,1.3218019
06dec2015,1.0599999,69.498253,1.92,1.514479
13dec2015,1.22,61.601643,1.9400001,1.3713651
20dec2015,1.15,63.709148,1.87,1.370379
27dec2015,1.05,69.220634,1.88,1.4081581
03jan2016,.93000001,91.879875,1.9299999,1.8894269
10jan2016,1.21,76.583992,1.9299999,1.7568189
17jan2016,1.24,73.286079,1.95,1.8983231
24jan2016,1.05,84.44175,1.89,2.4292321
31jan2016,1.27,80.503906,2.3,2.363061
07feb2016,.88999999,135.50471,1.9299999,2.608882
14feb2016,1.34,69.69593,2.3699999,2.127609
21feb2016,1.15,79.982597,2.3800001,2.125664
28feb2016,1.29,82.409264,2.29,2.417521
06mar2016,1.29,81.724037,2.3099999,2.4869599
13mar2016,1.41,71.40023,2.27,2.522974
20mar2016,1.4,73.957787,2.3299999,2.4714551
27mar2016,1.47,71.602043,2.23,2.5593441
03apr2016,1.12,84.973984,2.3,2.405514
10apr2016,1.38,76.565239,2.3299999,2.514116
17apr2016,1.39,78.642288,2.3299999,2.54861
24apr2016,1,101.74258,2.21,2.9693749
01may2016,.99000001,100.12272,1.33,4.703536
08may2016,1.0599999,96.133461,1.3200001,5.1985569
15may2016,1.37,77.206482,2.27,3.1308711
22may2016,1.3099999,81.792328,2.3399999,3.0292768
29may2016,1.34,89.106903,2.3399999,2.870718
05jun2016,1.35,89.915443,2.3,2.685091
12jun2016,1.45,77.038208,2.25,2.734915
19jun2016,1.4400001,80.092102,2.3099999,2.6991699
26jun2016,1.5,74.95549,2.21,2.953582
03jul2016,1.41,89.191711,2.3099999,2.9071109
10jul2016,1.4,84.273178,2.3199999,2.9064212
17jul2016,1.46,80.407196,2.3,2.6284239
24jul2016,1.54,81.735725,2.3699999,2.208385
31jul2016,1.52,81.450523,2.29,2.3597779
07aug2016,1.49,75.35704,2.3299999,2.4605381
14aug2016,1.03,111.48342,2.02,2.5520802
21aug2016,1.28,82.533813,2.3699999,2.0260999
28aug2016,1.38,81.241089,2.3800001,2.414351
04sep2016,1.47,85.010414,2.3800001,2.4494109
11sep2016,1.4299999,86.273247,2.3699999,2.447319
18sep2016,1.5,81.35759,2.3900001,2.3514359
25sep2016,1.4299999,86.054665,2.3499999,2.1280921
02oct2016,1.52,73.199356,2.6400001,2.2501249
09oct2016,1.8200001,67.308228,2.72,2.0761249
16oct2016,1.99,59.053505,2.3399999,.904818
23oct2016,1.87,41.187366,2.9300001,1.1252481
30oct2016,2.2,47.793781,3.25,1.6700939
06nov2016,2.0699999,49.250481,3.1199999,1.9043801
13nov2016,1.9400001,50.654381,2.99,1.8930401
20nov2016,1.89,51.07523,2.9400001,1.743641
27nov2016,1.75,48.837811,2.8800001,1.786474
04dec2016,1.52,54.285736,2.6700001,1.793425
11dec2016,1.29,65.542831,2.6700001,1.6323321
18dec2016,1.22,64.351822,2.5699999,1.453783
25dec2016,1.1799999,69.002731,2.5599999,1.616917
01jan2017,.94999999,104.71753,2.54,1.991051
08jan2017,1.22,95.377045,2.5799999,1.809656
15jan2017,1.23,84.826721,2.7,1.7202669
22jan2017,.94,108.95131,2.03,2.044193
29jan2017,1.13,90.965065,2.7,1.770849
05feb2017,.83999997,155.7975,1.61,2.576982
12feb2017,1.14,76.59832,2.5899999,1.94339
19feb2017,1.17,86.368866,2.5799999,1.9202539
26feb2017,1.1799999,89.168869,2.52,1.8753788
05mar2017,1.59,67.224281,2.9200001,2.121815
12mar2017,1.8,62.090824,2.9000001,1.76861
19mar2017,1.79,63.905083,2.8800001,1.8687221
26mar2017,1.79,61.798195,2.8299999,2.017065
02apr2017,1.79,63.253788,2.5899999,2.1303859
09apr2017,1.22,96.195496,2.54,2.123188
16apr2017,1.6900001,67.028145,2.5899999,2.3032341
23apr2017,1.83,61.356388,2.5599999,2.1330519
30apr2017,1.9299999,61.21043,2.5799999,2.2792239
07may2017,1.42,95.682991,2.54,1.9401801
14may2017,1.77,65.237587,2.6400001,2.084219
21may2017,1.86,65.230156,2.6500001,2.2558589
28may2017,1.78,66.407555,2.73,2.4852331
04jun2017,1.83,65.042641,2.72,2.3896868
11jun2017,1.8,60.860474,2.77,2.5806279
18jun2017,1.77,66.038628,2.76,2.403758
25jun2017,1.53,87.493767,2.6600001,1.5691401
02jul2017,1.7,70.08091,2.5899999,1.227996
09jul2017,1.6900001,71.507813,2.45,.83111203
16jul2017,1.74,73.232895,2.4000001,1.409942
23jul2017,1.66,67.518349,2.4400001,1.68317
30jul2017,1.3,89.744347,2.1400001,1.011025
06aug2017,1.62,72.355759,2.3299999,1.3350559
13aug2017,1.29,82.139572,2.5699999,2.229614
20aug2017,2.0699999,56.154194,2.9300001,2.152458
27aug2017,2.0899999,60.01532,3,1.9329491
03sep2017,1.78,66.786018,2.0799999,2.2836089
10sep2017,1.71,68.863632,2.05,2.8335302
17sep2017,1.8099999,64.831856,2.04,3.2191539
24sep2017,1.76,65.375107,2.0599999,1.9095211
01oct2017,1.79,66.045204,2.04,2.2703052
08oct2017,1.65,78.071037,2.0699999,2.0337212
15oct2017,1.76,67.123917,2.0899999,1.9027311
22oct2017,1.5700001,76.83741,2.0799999,1.885258
29oct2017,1.5599999,71.656708,2.0899999,1.99509
05nov2017,1.41,78.762581,2.05,2.0213211
12nov2017,1.27,87.510399,2.0699999,1.9344029
19nov2017,1.48,65.769302,2.0599999,1.762185
26nov2017,1.52,63.093899,2.0599999,1.570121
03dec2017,1.28,79.8853,2.0699999,1.4737281
10dec2017,1.05,99.287148,2.27,1.5142031
17dec2017,1.4,67.462509,2.0999999,1.7850721
24dec2017,1.15,86.092247,2.01,1.854103
31dec2017,.92000002,117.48186,1.52,2.4699211
07jan2018,1.46,81.808624,2.3,2.0151241
14jan2018,1.21,111.7377,1.3200001,3.7347891
21jan2018,1.01,130.1933,1.36,2.791945
28jan2018,1.38,82.135208,2.27,2.0325749
04feb2018,.83999997,170.62511,1.34,2.8070071
11feb2018,1.3200001,82.308685,2.22,2.1708651
18feb2018,1.0599999,114.90749,2.25,2.1551759
25feb2018,1.17,98.400009,2.1099999,2.4475482
04mar2018,1.16,105.13085,2.0699999,2.5055392
11mar2018,1.29,90.433403,2.1600001,2.5741839
18mar2018,1.38,77.730103,1.86,3.884577
25mar2018,1.01,120.32742,1.64,3.46872
